Date,station,river_hight,rainfall
1/17/2024,Magura,0.99,0
1/17/2024,Kalawellawa,1.72,0
1/16/2024,Putupaula,0.5,0
1/16/2024,Ellagawa,4.4,0
1/16/2024,Rathnapura,1,0
1/16/2024,Magura,1.06,0
1/16/2024,Kalawellawa,1.7,0
1/15/2024,Putupaula,0.5,0
1/15/2024,Ellagawa,4.47,0
1/15/2024,Rathnapura,0.99,0
1/15/2024,Magura,1.1,0
1/15/2024,Kalawellawa,1.8,0
1/14/2024,Putupaula,0.41,0
1/14/2024,Ellagawa,4.55,0
1/14/2024,Rathnapura,1.03,0
1/14/2024,Magura,1.28,0
1/14/2024,Kalawellawa,1.9,0
1/13/2024,Putupaula,0.37,0
1/13/2024,Ellagawa,4.67,0
1/13/2024,Rathnapura,1.14,0
1/13/2024,Magura,1.28,0
1/13/2024,Kalawellawa,1.93,0
1/12/2024,Putupaula,0.46,0
1/12/2024,Ellagawa,4.87,0
1/12/2024,Rathnapura,1.34,0
1/12/2024,Magura,1.41,0
1/12/2024,Kalawellawa,2.22,1.5
1/11/2024,Putupaula,0.43,0.3
1/11/2024,Ellagawa,5.13,2.7
1/11/2024,Rathnapura,1.64,4.4
1/11/2024,Magura,1.58,1.2
1/11/2024,Kalawellawa,2.15,0
1/10/2024,Putupaula,0.6,0
1/10/2024,Ellagawa,5.49,0.5
1/10/2024,Rathnapura,1.77,0.6
1/10/2024,Magura,1.61,0
1/10/2024,Kalawellawa,2.52,0
1/9/2024,Putupaula,0.71,5.7
1/9/2024,Ellagawa,5.42,9.7
1/9/2024,Rathnapura,1.88,13.4
1/9/2024,Magura,1.79,27.2
1/9/2024,Kalawellawa,3.45,12.1
1/8/2024,Putupaula,1.51,12.2
1/8/2024,Ellagawa,6.72,61.2
1/8/2024,Rathnapura,3.03,4.2
1/8/2024,Magura,2.41,29
1/8/2024,Kalawellawa,5,47.3
1/7/2024,Putupaula,1.25,4.5
1/7/2024,Ellagawa,6.95,59.4
1/7/2024,Rathnapura,3.98,29.8
1/7/2024,Magura,3.02,32
1/7/2024,Kalawellawa,4.83,11.9
1/6/2024,Putupaula,0.72,0
1/6/2024,Ellagawa,6.16,0
1/6/2024,Rathnapura,2.5,43.4
1/6/2024,Magura,1.79,4.6
1/6/2024,Kalawellawa,3.13,0
1/5/2024,Putupaula,0.65,0
1/5/2024,Ellagawa,6.19,0
1/5/2024,Rathnapura,4.12,1.1
1/5/2024,Magura,1.2,0
1/5/2024,Kalawellawa,2.27,0
1/4/2024,Putupaula,0.58,4
1/4/2024,Ellagawa,5.66,0
1/4/2024,Rathnapura,1.98,26
1/4/2024,Magura,1.26,0
1/4/2024,Kalawellawa,1.97,0
1/3/2024,Putupaula,0.8,0
1/3/2024,Ellagawa,4.84,0
1/3/2024,Rathnapura,1.12,0
1/3/2024,Magura,1.65,0
1/3/2024,Kalawellawa,2.45,0
1/2/2024,Putupaula,0.95,5.9
1/2/2024,Ellagawa,5.35,38.4
1/2/2024,Rathnapura,1.57,13.7
1/2/2024,Magura,3.52,20
1/2/2024,Kalawellawa,3.73,20
1/1/2024,Putupaula,0.82,14.2
1/1/2024,Ellagawa,5.59,70.7
